epoch,batch,batch_loss,elapsed_s,data_wait_s,compute_s,timestamp_utc
4,1150,-22.134594,1247.3,0.06,5.37,2026-06-18T04:02:10:00Z
4,1200,-21.024834,1301.2,0.06,5.19,2026-06-18T04:03:04:00Z
4,1250,-20.429939,1355.1,0.06,5.03,2026-06-18T04:03:58:00Z
4,1300,-21.741617,1409.0,0.05,4.88,2026-06-18T04:04:52:00Z
4,1350,-21.827599,1462.8,0.05,4.74,2026-06-18T04:05:46:00Z
4,1400,-21.118044,1516.7,0.05,4.61,2026-06-18T04:06:40:00Z
4,1450,-20.377951,1570.6,0.05,4.48,2026-06-18T04:07:33:00Z
4,1500,-21.410406,1624.4,0.05,4.37,2026-06-18T04:08:27:00Z
5,50,-21.268755,61.1,1.53,132.25,2026-06-18T04:09:31:00Z
5,100,-20.397749,115.0,0.76,66.66,2026-06-18T04:10:25:00Z
5,150,-20.869452,168.9,0.51,44.8,2026-06-18T04:11:19:00Z
5,200,-21.646509,222.8,0.38,33.87,2026-06-18T04:12:13:00Z
5,250,-21.991301,276.7,0.31,27.31,2026-06-18T04:13:07:00Z
5,300,-21.609423,330.6,0.25,22.94,2026-06-18T04:14:01:00Z
5,350,-21.772127,384.5,0.22,19.82,2026-06-18T04:14:54:00Z
5,400,-21.71298,438.4,0.19,17.47,2026-06-18T04:15:48:00Z
5,450,-21.731173,492.3,0.17,15.65,2026-06-18T04:16:42:00Z
5,500,-21.992483,546.3,0.15,14.19,2026-06-18T04:17:36:00Z
5,550,-21.552969,600.2,0.14,13.0,2026-06-18T04:18:30:00Z
5,600,-21.198019,654.1,0.13,12.01,2026-06-18T04:19:24:00Z
5,650,-21.070976,708.0,0.12,11.17,2026-06-18T04:20:18:00Z
5,700,-21.784529,761.9,0.11,10.45,2026-06-18T04:21:12:00Z
5,750,-20.532383,815.9,0.1,9.82,2026-06-18T04:22:06:00Z
5,800,-22.098833,869.8,0.1,9.28,2026-06-18T04:23:00:00Z
5,850,-20.984331,923.7,0.09,8.79,2026-06-18T04:23:54:00Z
5,900,-21.478443,977.6,0.09,8.36,2026-06-18T04:24:47:00Z
5,950,-21.634491,1031.5,0.08,7.98,2026-06-18T04:25:41:00Z
5,1000,-21.796373,1085.4,0.08,7.64,2026-06-18T04:26:35:00Z
5,1050,-20.791691,1139.3,0.07,7.32,2026-06-18T04:27:29:00Z
5,1100,-21.112118,1193.2,0.07,7.04,2026-06-18T04:28:23:00Z
5,1150,-21.306709,1247.1,0.07,6.78,2026-06-18T04:29:17:00Z
5,1200,-21.250029,1301.0,0.06,6.54,2026-06-18T04:30:11:00Z
5,1250,-22.036371,1354.9,0.06,6.32,2026-06-18T04:31:05:00Z
5,1300,-21.880545,1408.8,0.06,6.12,2026-06-18T04:31:59:00Z
5,1350,-21.788025,1462.7,0.06,5.94,2026-06-18T04:32:53:00Z
5,1400,-21.677826,1516.6,0.06,5.76,2026-06-18T04:33:46:00Z
5,1450,-22.013294,1570.5,0.05,5.6,2026-06-18T04:34:40:00Z
5,1500,-21.197063,1624.3,0.05,5.45,2026-06-18T04:35:34:00Z
6,50,-21.880964,60.6,1.76,164.63,2026-06-18T04:36:41:00Z
6,100,-21.566477,114.5,0.88,82.85,2026-06-18T04:37:35:00Z
6,150,-21.340685,168.4,0.59,55.59,2026-06-18T04:38:29:00Z
6,200,-22.080843,222.4,0.44,41.96,2026-06-18T04:39:23:00Z
